Categoría: Todas las categorías

Mes,Aeroméxico: (Todo el mundo)
2004-01,41
2004-02,39
2004-03,43
2004-04,40
2004-05,41
2004-06,46
2004-07,46
2004-08,45
2004-09,43
2004-10,44
2004-11,43
2004-12,37
2005-01,42
2005-02,42
2005-03,42
2005-04,40
2005-05,42
2005-06,48
2005-07,46
2005-08,46
2005-09,36
2005-10,42
2005-11,40
2005-12,38
2006-01,41
2006-02,43
2006-03,51
2006-04,58
2006-05,54
2006-06,58
2006-07,63
2006-08,57
2006-09,52
2006-10,57
2006-11,59
2006-12,53
2007-01,62
2007-02,62
2007-03,78
2007-04,71
2007-05,76
2007-06,82
2007-07,81
2007-08,72
2007-09,68
2007-10,75
2007-11,73
2007-12,67
2008-01,73
2008-02,71
2008-03,70
2008-04,72
2008-05,71
2008-06,78
2008-07,80
2008-08,75
2008-09,64
2008-10,60
2008-11,61
2008-12,59
2009-01,69
2009-02,67
2009-03,73
2009-04,67
2009-05,66
2009-06,84
2009-07,100
2009-08,75
2009-09,81
2009-10,74
2009-11,65
2009-12,64
2010-01,65
2010-02,61
2010-03,71
2010-04,64
2010-05,64
2010-06,62
2010-07,73
2010-08,87
2010-09,88
2010-10,83
2010-11,79
2010-12,75
2011-01,77
2011-02,77
2011-03,79
2011-04,84
2011-05,82
2011-06,83
2011-07,84
2011-08,79
2011-09,74
2011-10,74
2011-11,77
2011-12,66
2012-01,72
2012-02,66
2012-03,71
2012-04,63
2012-05,66
2012-06,70
2012-07,71
2012-08,66
2012-09,63
2012-10,66
2012-11,69
2012-12,56
2013-01,69
2013-02,61
2013-03,59
2013-04,66
2013-05,65
2013-06,72
2013-07,73
2013-08,73
2013-09,72
2013-10,77
2013-11,73
2013-12,68
2014-01,76
2014-02,70
2014-03,73
2014-04,71
2014-05,77
2014-06,79
2014-07,86
2014-08,81
2014-09,81
2014-10,81
2014-11,79
2014-12,72
2015-01,81
2015-02,83
2015-03,85
2015-04,90
2015-05,86
2015-06,85
2015-07,90
2015-08,78
2015-09,77
2015-10,82
2015-11,81
2015-12,72
2016-01,65
2016-02,66
2016-03,71
2016-04,69
2016-05,74
2016-06,81
2016-07,78
2016-08,75
2016-09,71
2016-10,72
2016-11,77
2016-12,69
2017-01,73
2017-02,71
2017-03,74
2017-04,71
2017-05,75
2017-06,85
2017-07,82
2017-08,84
2017-09,78
2017-10,79
2017-11,85
2017-12,74
2018-01,82
2018-02,73
2018-03,76
2018-04,76
2018-05,78
2018-06,74
2018-07,88
2018-08,94
2018-09,69
2018-10,73
2018-11,73
2018-12,66
2019-01,76
2019-02,69
2019-03,72
2019-04,67
2019-05,76
2019-06,73
2019-07,71
2019-08,68
2019-09,66
2019-10,66
2019-11,71
2019-12,60
2020-01,65
2020-02,63
2020-03,64
2020-04,28
2020-05,28
2020-06,33
2020-07,41
2020-08,39
2020-09,45
2020-10,47
2020-11,48
2020-12,46
2021-01,47
2021-02,45
2021-03,54
2021-04,56
2021-05,62
2021-06,59
2021-07,62
2021-08,51
2021-09,52
2021-10,57
2021-11,62
2021-12,60
2022-01,61
2022-02,58
2022-03,53
