Categoría: Todas las categorías

Mes,bolsa de trabajo: (México)
2004-01,98
2004-02,77
2004-03,66
2004-04,74
2004-05,67
2004-06,80
2004-07,100
2004-08,79
2004-09,67
2004-10,58
2004-11,49
2004-12,52
2005-01,89
2005-02,68
2005-03,72
2005-04,68
2005-05,70
2005-06,85
2005-07,96
2005-08,84
2005-09,61
2005-10,55
2005-11,51
2005-12,51
2006-01,87
2006-02,74
2006-03,66
2006-04,68
2006-05,75
2006-06,80
2006-07,96
2006-08,85
2006-09,67
2006-10,62
2006-11,59
2006-12,52
2007-01,96
2007-02,73
2007-03,72
2007-04,73
2007-05,74
2007-06,77
2007-07,91
2007-08,77
2007-09,63
2007-10,58
2007-11,53
2007-12,44
2008-01,79
2008-02,66
2008-03,61
2008-04,59
2008-05,59
2008-06,65
2008-07,73
2008-08,63
2008-09,59
2008-10,53
2008-11,49
2008-12,41
2009-01,68
2009-02,60
2009-03,58
2009-04,59
2009-05,62
2009-06,68
2009-07,73
2009-08,67
2009-09,59
2009-10,56
2009-11,52
2009-12,44
2010-01,69
2010-02,61
2010-03,60
2010-04,59
2010-05,60
2010-06,60
2010-07,67
2010-08,64
2010-09,56
2010-10,48
2010-11,43
2010-12,38
2011-01,73
2011-02,60
2011-03,59
2011-04,52
2011-05,59
2011-06,64
2011-07,67
2011-08,67
2011-09,58
2011-10,51
2011-11,46
2011-12,37
2012-01,66
2012-02,60
2012-03,56
2012-04,51
2012-05,55
2012-06,56
2012-07,60
2012-08,61
2012-09,53
2012-10,50
2012-11,43
2012-12,32
2013-01,67
2013-02,59
2013-03,55
2013-04,63
2013-05,60
2013-06,68
2013-07,72
2013-08,73
2013-09,64
2013-10,62
2013-11,51
2013-12,40
2014-01,76
2014-02,69
2014-03,65
2014-04,64
2014-05,68
2014-06,71
2014-07,78
2014-08,75
2014-09,67
2014-10,64
2014-11,52
2014-12,43
2015-01,73
2015-02,66
2015-03,62
2015-04,65
2015-05,59
2015-06,66
2015-07,70
2015-08,70
2015-09,63
2015-10,58
2015-11,48
2015-12,40
2016-01,65
2016-02,62
2016-03,58
2016-04,59
2016-05,60
2016-06,63
2016-07,66
2016-08,63
2016-09,57
2016-10,50
2016-11,46
2016-12,39
2017-01,66
2017-02,62
2017-03,61
2017-04,57
2017-05,63
2017-06,70
2017-07,68
2017-08,69
2017-09,57
2017-10,56
2017-11,47
2017-12,38
2018-01,67
2018-02,59
2018-03,54
2018-04,55
2018-05,55
2018-06,52
2018-07,61
2018-08,61
2018-09,51
2018-10,48
2018-11,41
2018-12,34
2019-01,65
2019-02,58
2019-03,54
2019-04,51
2019-05,53
2019-06,58
2019-07,62
2019-08,58
2019-09,52
2019-10,47
2019-11,41
2019-12,43
2020-01,60
2020-02,52
2020-03,42
2020-04,30
2020-05,31
2020-06,50
2020-07,57
2020-08,50
2020-09,46
2020-10,43
2020-11,37
2020-12,30
2021-01,50
2021-02,44
2021-03,44
2021-04,45
2021-05,43
2021-06,47
2021-07,51
2021-08,49
2021-09,37
2021-10,34
2021-11,30
2021-12,25
2022-01,40
2022-02,37
2022-03,32
