Categoría: Todas las categorías

Mes,Cancún: (Todo el mundo)
2004-01,76
2004-02,69
2004-03,69
2004-04,60
2004-05,55
2004-06,59
2004-07,60
2004-08,54
2004-09,54
2004-10,50
2004-11,52
2004-12,53
2005-01,75
2005-02,66
2005-03,74
2005-04,56
2005-05,53
2005-06,55
2005-07,80
2005-08,50
2005-09,43
2005-10,100
2005-11,34
2005-12,34
2006-01,49
2006-02,47
2006-03,53
2006-04,41
2006-05,45
2006-06,43
2006-07,46
2006-08,47
2006-09,36
2006-10,42
2006-11,43
2006-12,44
2007-01,64
2007-02,59
2007-03,56
2007-04,49
2007-05,48
2007-06,49
2007-07,51
2007-08,60
2007-09,39
2007-10,42
2007-11,43
2007-12,43
2008-01,64
2008-02,59
2008-03,57
2008-04,52
2008-05,46
2008-06,49
2008-07,50
2008-08,47
2008-09,42
2008-10,40
2008-11,40
2008-12,43
2009-01,61
2009-02,58
2009-03,53
2009-04,49
2009-05,34
2009-06,42
2009-07,46
2009-08,42
2009-09,38
2009-10,38
2009-11,43
2009-12,42
2010-01,57
2010-02,56
2010-03,51
2010-04,49
2010-05,42
2010-06,44
2010-07,46
2010-08,42
2010-09,38
2010-10,37
2010-11,40
2010-12,45
2011-01,52
2011-02,48
2011-03,46
2011-04,40
2011-05,40
2011-06,43
2011-07,44
2011-08,42
2011-09,37
2011-10,42
2011-11,39
2011-12,38
2012-01,51
2012-02,47
2012-03,45
2012-04,42
2012-05,42
2012-06,45
2012-07,46
2012-08,45
2012-09,37
2012-10,38
2012-11,38
2012-12,38
2013-01,51
2013-02,47
2013-03,48
2013-04,45
2013-05,47
2013-06,56
2013-07,51
2013-08,47
2013-09,42
2013-10,42
2013-11,41
2013-12,40
2014-01,57
2014-02,47
2014-03,47
2014-04,45
2014-05,46
2014-06,44
2014-07,50
2014-08,46
2014-09,43
2014-10,42
2014-11,40
2014-12,44
2015-01,59
2015-02,53
2015-03,53
2015-04,50
2015-05,48
2015-06,53
2015-07,56
2015-08,53
2015-09,46
2015-10,49
2015-11,47
2015-12,47
2016-01,61
2016-02,55
2016-03,56
2016-04,50
2016-05,50
2016-06,54
2016-07,57
2016-08,55
2016-09,48
2016-10,49
2016-11,50
2016-12,50
2017-01,70
2017-02,55
2017-03,60
2017-04,55
2017-05,56
2017-06,62
2017-07,60
2017-08,59
2017-09,53
2017-10,51
2017-11,53
2017-12,53
2018-01,72
2018-02,61
2018-03,63
2018-04,60
2018-05,55
2018-06,57
2018-07,58
2018-08,57
2018-09,46
2018-10,49
2018-11,49
2018-12,49
2019-01,63
2019-02,59
2019-03,59
2019-04,55
2019-05,53
2019-06,56
2019-07,56
2019-08,54
2019-09,49
2019-10,49
2019-11,51
2019-12,51
2020-01,65
2020-02,59
2020-03,45
2020-04,24
2020-05,25
2020-06,31
2020-07,34
2020-08,37
2020-09,36
2020-10,45
2020-11,39
2020-12,40
2021-01,46
2021-02,49
2021-03,53
2021-04,52
2021-05,53
2021-06,57
2021-07,55
2021-08,52
2021-09,45
2021-10,47
2021-11,54
2021-12,52
2022-01,65
2022-02,60
2022-03,59
