Categoría: Compras

Mes,Geo: México
2004-01,38
2004-02,41
2004-03,37
2004-04,38
2004-05,40
2004-06,41
2004-07,40
2004-08,41
2004-09,42
2004-10,45
2004-11,45
2004-12,46
2005-01,40
2005-02,48
2005-03,40
2005-04,45
2005-05,44
2005-06,44
2005-07,44
2005-08,46
2005-09,46
2005-10,46
2005-11,48
2005-12,53
2006-01,43
2006-02,47
2006-03,45
2006-04,42
2006-05,47
2006-06,50
2006-07,48
2006-08,49
2006-09,48
2006-10,48
2006-11,49
2006-12,53
2007-01,47
2007-02,49
2007-03,46
2007-04,44
2007-05,48
2007-06,48
2007-07,49
2007-08,49
2007-09,50
2007-10,52
2007-11,50
2007-12,52
2008-01,48
2008-02,48
2008-03,45
2008-04,48
2008-05,49
2008-06,49
2008-07,48
2008-08,48
2008-09,48
2008-10,50
2008-11,48
2008-12,49
2009-01,46
2009-02,45
2009-03,44
2009-04,42
2009-05,44
2009-06,43
2009-07,44
2009-08,44
2009-09,42
2009-10,44
2009-11,42
2009-12,44
2010-01,38
2010-02,39
2010-03,38
2010-04,39
2010-05,37
2010-06,37
2010-07,36
2010-08,35
2010-09,34
2010-10,35
2010-11,37
2010-12,36
2011-01,50
2011-02,50
2011-03,50
2011-04,49
2011-05,52
2011-06,53
2011-07,54
2011-08,55
2011-09,56
2011-10,58
2011-11,63
2011-12,59
2012-01,57
2012-02,57
2012-03,57
2012-04,57
2012-05,59
2012-06,61
2012-07,60
2012-08,62
2012-09,62
2012-10,63
2012-11,67
2012-12,63
2013-01,63
2013-02,62
2013-03,58
2013-04,60
2013-05,61
2013-06,65
2013-07,63
2013-08,64
2013-09,61
2013-10,69
2013-11,67
2013-12,66
2014-01,64
2014-02,64
2014-03,64
2014-04,61
2014-05,65
2014-06,67
2014-07,70
2014-08,67
2014-09,66
2014-10,72
2014-11,70
2014-12,70
2015-01,68
2015-02,68
2015-03,67
2015-04,64
2015-05,62
2015-06,66
2015-07,72
2015-08,70
2015-09,69
2015-10,76
2015-11,80
2015-12,76
2016-01,73
2016-02,71
2016-03,69
2016-04,69
2016-05,71
2016-06,71
2016-07,72
2016-08,67
2016-09,69
2016-10,75
2016-11,75
2016-12,74
2017-01,68
2017-02,70
2017-03,70
2017-04,67
2017-05,69
2017-06,71
2017-07,71
2017-08,71
2017-09,68
2017-10,77
2017-11,77
2017-12,77
2018-01,72
2018-02,73
2018-03,70
2018-04,69
2018-05,74
2018-06,73
2018-07,75
2018-08,71
2018-09,69
2018-10,74
2018-11,78
2018-12,80
2019-01,72
2019-02,71
2019-03,72
2019-04,71
2019-05,78
2019-06,81
2019-07,77
2019-08,77
2019-09,75
2019-10,83
2019-11,89
2019-12,88
2020-01,82
2020-02,79
2020-03,72
2020-04,77
2020-05,88
2020-06,85
2020-07,85
2020-08,82
2020-09,81
2020-10,88
2020-11,97
2020-12,100
2021-01,85
2021-02,83
2021-03,78
2021-04,82
2021-05,86
2021-06,79
2021-07,85
2021-08,82
2021-09,77
2021-10,83
2021-11,93
2021-12,99
2022-01,90
2022-02,87
2022-03,84
