Categoría: Restaurantes

Mes,Geo: México
2004-01,16
2004-02,16
2004-03,17
2004-04,17
2004-05,18
2004-06,16
2004-07,17
2004-08,20
2004-09,19
2004-10,19
2004-11,20
2004-12,20
2005-01,18
2005-02,21
2005-03,17
2005-04,20
2005-05,20
2005-06,21
2005-07,20
2005-08,21
2005-09,20
2005-10,21
2005-11,23
2005-12,20
2006-01,19
2006-02,21
2006-03,20
2006-04,19
2006-05,23
2006-06,24
2006-07,22
2006-08,24
2006-09,23
2006-10,24
2006-11,24
2006-12,24
2007-01,23
2007-02,24
2007-03,25
2007-04,23
2007-05,26
2007-06,26
2007-07,25
2007-08,27
2007-09,27
2007-10,26
2007-11,27
2007-12,25
2008-01,24
2008-02,26
2008-03,25
2008-04,27
2008-05,26
2008-06,25
2008-07,26
2008-08,26
2008-09,25
2008-10,24
2008-11,24
2008-12,24
2009-01,22
2009-02,23
2009-03,22
2009-04,23
2009-05,23
2009-06,24
2009-07,23
2009-08,24
2009-09,24
2009-10,24
2009-11,24
2009-12,24
2010-01,21
2010-02,22
2010-03,20
2010-04,20
2010-05,23
2010-06,24
2010-07,23
2010-08,23
2010-09,22
2010-10,23
2010-11,23
2010-12,24
2011-01,35
2011-02,36
2011-03,37
2011-04,38
2011-05,41
2011-06,41
2011-07,40
2011-08,46
2011-09,41
2011-10,42
2011-11,43
2011-12,44
2012-01,40
2012-02,44
2012-03,44
2012-04,45
2012-05,47
2012-06,50
2012-07,51
2012-08,48
2012-09,47
2012-10,46
2012-11,46
2012-12,46
2013-01,44
2013-02,47
2013-03,47
2013-04,47
2013-05,53
2013-06,51
2013-07,53
2013-08,51
2013-09,48
2013-10,52
2013-11,51
2013-12,54
2014-01,50
2014-02,53
2014-03,53
2014-04,52
2014-05,55
2014-06,58
2014-07,58
2014-08,53
2014-09,52
2014-10,51
2014-11,51
2014-12,54
2015-01,52
2015-02,53
2015-03,54
2015-04,54
2015-05,57
2015-06,57
2015-07,64
2015-08,63
2015-09,59
2015-10,61
2015-11,64
2015-12,63
2016-01,62
2016-02,63
2016-03,62
2016-04,63
2016-05,68
2016-06,68
2016-07,73
2016-08,64
2016-09,64
2016-10,68
2016-11,69
2016-12,73
2017-01,67
2017-02,70
2017-03,67
2017-04,72
2017-05,72
2017-06,73
2017-07,78
2017-08,72
2017-09,67
2017-10,72
2017-11,69
2017-12,78
2018-01,70
2018-02,72
2018-03,73
2018-04,71
2018-05,87
2018-06,82
2018-07,86
2018-08,75
2018-09,77
2018-10,75
2018-11,75
2018-12,83
2019-01,72
2019-02,79
2019-03,79
2019-04,83
2019-05,86
2019-06,86
2019-07,87
2019-08,84
2019-09,90
2019-10,80
2019-11,86
2019-12,92
2020-01,83
2020-02,84
2020-03,72
2020-04,72
2020-05,80
2020-06,75
2020-07,83
2020-08,81
2020-09,77
2020-10,83
2020-11,79
2020-12,86
2021-01,81
2021-02,83
2021-03,81
2021-04,90
2021-05,100
2021-06,94
2021-07,92
2021-08,93
2021-09,83
2021-10,80
2021-11,85
2021-12,96
2022-01,91
2022-02,90
2022-03,87
