Categoría: Venta de entradas

Mes,Geo: México
2004-01,9
2004-02,11
2004-03,6
2004-04,7
2004-05,8
2004-06,11
2004-07,9
2004-08,8
2004-09,11
2004-10,11
2004-11,17
2004-12,8
2005-01,9
2005-02,11
2005-03,13
2005-04,12
2005-05,16
2005-06,10
2005-07,13
2005-08,14
2005-09,18
2005-10,15
2005-11,18
2005-12,18
2006-01,13
2006-02,15
2006-03,17
2006-04,14
2006-05,14
2006-06,10
2006-07,12
2006-08,20
2006-09,19
2006-10,20
2006-11,17
2006-12,13
2007-01,13
2007-02,19
2007-03,22
2007-04,19
2007-05,16
2007-06,14
2007-07,16
2007-08,20
2007-09,20
2007-10,21
2007-11,19
2007-12,15
2008-01,18
2008-02,19
2008-03,17
2008-04,19
2008-05,19
2008-06,21
2008-07,18
2008-08,18
2008-09,22
2008-10,24
2008-11,21
2008-12,15
2009-01,17
2009-02,19
2009-03,23
2009-04,17
2009-05,16
2009-06,14
2009-07,16
2009-08,16
2009-09,19
2009-10,25
2009-11,21
2009-12,17
2010-01,18
2010-02,19
2010-03,18
2010-04,22
2010-05,19
2010-06,16
2010-07,14
2010-08,18
2010-09,22
2010-10,17
2010-11,15
2010-12,11
2011-01,20
2011-02,23
2011-03,22
2011-04,22
2011-05,27
2011-06,25
2011-07,26
2011-08,29
2011-09,27
2011-10,25
2011-11,25
2011-12,20
2012-01,19
2012-02,20
2012-03,24
2012-04,21
2012-05,22
2012-06,18
2012-07,19
2012-08,21
2012-09,21
2012-10,21
2012-11,22
2012-12,16
2013-01,19
2013-02,20
2013-03,19
2013-04,20
2013-05,24
2013-06,23
2013-07,21
2013-08,21
2013-09,21
2013-10,24
2013-11,20
2013-12,20
2014-01,20
2014-02,22
2014-03,23
2014-04,21
2014-05,21
2014-06,20
2014-07,21
2014-08,22
2014-09,22
2014-10,24
2014-11,20
2014-12,19
2015-01,21
2015-02,22
2015-03,23
2015-04,22
2015-05,21
2015-06,20
2015-07,22
2015-08,27
2015-09,35
2015-10,37
2015-11,34
2015-12,30
2016-01,28
2016-02,32
2016-03,27
2016-04,67
2016-05,41
2016-06,31
2016-07,34
2016-08,32
2016-09,36
2016-10,42
2016-11,38
2016-12,30
2017-01,32
2017-02,39
2017-03,49
2017-04,38
2017-05,39
2017-06,45
2017-07,36
2017-08,40
2017-09,36
2017-10,45
2017-11,41
2017-12,36
2018-01,39
2018-02,43
2018-03,46
2018-04,45
2018-05,45
2018-06,38
2018-07,43
2018-08,88
2018-09,62
2018-10,50
2018-11,45
2018-12,40
2019-01,45
2019-02,44
2019-03,47
2019-04,45
2019-05,48
2019-06,51
2019-07,50
2019-08,56
2019-09,74
2019-10,64
2019-11,53
2019-12,51
2020-01,64
2020-02,60
2020-03,51
2020-04,46
2020-05,51
2020-06,52
2020-07,55
2020-08,56
2020-09,63
2020-10,72
2020-11,75
2020-12,94
2021-01,83
2021-02,74
2021-03,71
2021-04,73
2021-05,71
2021-06,72
2021-07,75
2021-08,74
2021-09,73
2021-10,91
2021-11,92
2021-12,92
2022-01,95
2022-02,100
2022-03,76
