Categoría: Viajes

Mes,Geo: México
2004-01,31
2004-02,32
2004-03,38
2004-04,37
2004-05,42
2004-06,43
2004-07,44
2004-08,42
2004-09,45
2004-10,46
2004-11,46
2004-12,37
2005-01,42
2005-02,46
2005-03,49
2005-04,47
2005-05,48
2005-06,53
2005-07,53
2005-08,51
2005-09,49
2005-10,50
2005-11,47
2005-12,42
2006-01,48
2006-02,49
2006-03,57
2006-04,54
2006-05,56
2006-06,57
2006-07,64
2006-08,56
2006-09,57
2006-10,58
2006-11,57
2006-12,50
2007-01,54
2007-02,59
2007-03,72
2007-04,62
2007-05,65
2007-06,70
2007-07,78
2007-08,66
2007-09,65
2007-10,64
2007-11,61
2007-12,53
2008-01,60
2008-02,62
2008-03,63
2008-04,67
2008-05,64
2008-06,68
2008-07,71
2008-08,63
2008-09,59
2008-10,57
2008-11,55
2008-12,48
2009-01,55
2009-02,54
2009-03,59
2009-04,55
2009-05,52
2009-06,59
2009-07,62
2009-08,50
2009-09,49
2009-10,48
2009-11,44
2009-12,41
2010-01,43
2010-02,45
2010-03,49
2010-04,45
2010-05,44
2010-06,45
2010-07,46
2010-08,44
2010-09,40
2010-10,39
2010-11,39
2010-12,36
2011-01,57
2011-02,58
2011-03,65
2011-04,68
2011-05,62
2011-06,64
2011-07,64
2011-08,64
2011-09,60
2011-10,61
2011-11,62
2011-12,57
2012-01,60
2012-02,61
2012-03,68
2012-04,62
2012-05,65
2012-06,65
2012-07,70
2012-08,66
2012-09,63
2012-10,63
2012-11,64
2012-12,56
2013-01,65
2013-02,62
2013-03,64
2013-04,65
2013-05,65
2013-06,70
2013-07,74
2013-08,71
2013-09,63
2013-10,67
2013-11,66
2013-12,63
2014-01,70
2014-02,66
2014-03,73
2014-04,73
2014-05,73
2014-06,73
2014-07,80
2014-08,75
2014-09,70
2014-10,69
2014-11,66
2014-12,65
2015-01,73
2015-02,70
2015-03,78
2015-04,76
2015-05,71
2015-06,73
2015-07,88
2015-08,83
2015-09,73
2015-10,76
2015-11,77
2015-12,74
2016-01,78
2016-02,79
2016-03,84
2016-04,81
2016-05,80
2016-06,84
2016-07,93
2016-08,83
2016-09,82
2016-10,81
2016-11,78
2016-12,77
2017-01,83
2017-02,81
2017-03,84
2017-04,88
2017-05,83
2017-06,89
2017-07,89
2017-08,87
2017-09,79
2017-10,81
2017-11,82
2017-12,78
2018-01,84
2018-02,85
2018-03,92
2018-04,84
2018-05,86
2018-06,90
2018-07,98
2018-08,85
2018-09,81
2018-10,84
2018-11,87
2018-12,82
2019-01,88
2019-02,88
2019-03,94
2019-04,98
2019-05,93
2019-06,95
2019-07,100
2019-08,94
2019-09,88
2019-10,87
2019-11,90
2019-12,86
2020-01,95
2020-02,93
2020-03,80
2020-04,57
2020-05,61
2020-06,67
2020-07,70
2020-08,72
2020-09,74
2020-10,77
2020-11,73
2020-12,72
2021-01,74
2021-02,77
2021-03,84
2021-04,84
2021-05,87
2021-06,86
2021-07,88
2021-08,83
2021-09,78
2021-10,80
2021-11,84
2021-12,85
2022-01,88
2022-02,90
2022-03,93
