Categoría: Todas las categorías

Mes,Chevrolet: (México)
2004-01,91
2004-02,72
2004-03,60
2004-04,71
2004-05,64
2004-06,78
2004-07,90
2004-08,66
2004-09,66
2004-10,61
2004-11,69
2004-12,78
2005-01,74
2005-02,63
2005-03,67
2005-04,62
2005-05,81
2005-06,80
2005-07,82
2005-08,75
2005-09,69
2005-10,70
2005-11,77
2005-12,84
2006-01,81
2006-02,70
2006-03,62
2006-04,76
2006-05,70
2006-06,72
2006-07,80
2006-08,77
2006-09,68
2006-10,72
2006-11,77
2006-12,91
2007-01,79
2007-02,66
2007-03,67
2007-04,73
2007-05,67
2007-06,64
2007-07,84
2007-08,70
2007-09,61
2007-10,70
2007-11,66
2007-12,87
2008-01,87
2008-02,68
2008-03,77
2008-04,71
2008-05,68
2008-06,75
2008-07,100
2008-08,71
2008-09,67
2008-10,60
2008-11,61
2008-12,61
2009-01,60
2009-02,52
2009-03,51
2009-04,54
2009-05,55
2009-06,62
2009-07,70
2009-08,64
2009-09,61
2009-10,61
2009-11,61
2009-12,63
2010-01,61
2010-02,56
2010-03,53
2010-04,50
2010-05,50
2010-06,49
2010-07,61
2010-08,70
2010-09,55
2010-10,56
2010-11,52
2010-12,55
2011-01,54
2011-02,47
2011-03,42
2011-04,42
2011-05,43
2011-06,46
2011-07,49
2011-08,52
2011-09,52
2011-10,46
2011-11,48
2011-12,49
2012-01,48
2012-02,48
2012-03,49
2012-04,43
2012-05,42
2012-06,42
2012-07,46
2012-08,46
2012-09,45
2012-10,48
2012-11,50
2012-12,46
2013-01,51
2013-02,47
2013-03,52
2013-04,48
2013-05,46
2013-06,50
2013-07,57
2013-08,54
2013-09,47
2013-10,49
2013-11,51
2013-12,50
2014-01,53
2014-02,49
2014-03,48
2014-04,50
2014-05,52
2014-06,49
2014-07,59
2014-08,60
2014-09,55
2014-10,55
2014-11,55
2014-12,60
2015-01,57
2015-02,56
2015-03,55
2015-04,56
2015-05,53
2015-06,59
2015-07,61
2015-08,66
2015-09,59
2015-10,61
2015-11,62
2015-12,67
2016-01,55
2016-02,52
2016-03,53
2016-04,51
2016-05,51
2016-06,61
2016-07,60
2016-08,56
2016-09,59
2016-10,59
2016-11,60
2016-12,57
2017-01,56
2017-02,49
2017-03,51
2017-04,50
2017-05,49
2017-06,54
2017-07,60
2017-08,57
2017-09,55
2017-10,57
2017-11,60
2017-12,60
2018-01,59
2018-02,55
2018-03,55
2018-04,51
2018-05,51
2018-06,49
2018-07,55
2018-08,54
2018-09,49
2018-10,49
2018-11,53
2018-12,56
2019-01,54
2019-02,57
2019-03,55
2019-04,51
2019-05,50
2019-06,52
2019-07,55
2019-08,50
2019-09,48
2019-10,46
2019-11,49
2019-12,54
2020-01,54
2020-02,50
2020-03,43
2020-04,34
2020-05,38
2020-06,45
2020-07,52
2020-08,49
2020-09,43
2020-10,42
2020-11,45
2020-12,47
2021-01,48
2021-02,46
2021-03,46
2021-04,49
2021-05,44
2021-06,46
2021-07,50
2021-08,49
2021-09,41
2021-10,41
2021-11,44
2021-12,47
2022-01,46
2022-02,45
2022-03,40
