Categoría: Todas las categorías

Mes,Cinemex: (México)
2004-01,11
2004-02,9
2004-03,11
2004-04,11
2004-05,13
2004-06,19
2004-07,16
2004-08,10
2004-09,11
2004-10,10
2004-11,9
2004-12,13
2005-01,13
2005-02,11
2005-03,14
2005-04,11
2005-05,13
2005-06,15
2005-07,19
2005-08,14
2005-09,11
2005-10,12
2005-11,16
2005-12,18
2006-01,15
2006-02,14
2006-03,19
2006-04,19
2006-05,19
2006-06,19
2006-07,27
2006-08,14
2006-09,12
2006-10,15
2006-11,17
2006-12,20
2007-01,23
2007-02,18
2007-03,17
2007-04,22
2007-05,25
2007-06,24
2007-07,32
2007-08,16
2007-09,12
2007-10,12
2007-11,15
2007-12,17
2008-01,18
2008-02,18
2008-03,20
2008-04,16
2008-05,18
2008-06,19
2008-07,24
2008-08,16
2008-09,14
2008-10,12
2008-11,13
2008-12,15
2009-01,16
2009-02,15
2009-03,15
2009-04,17
2009-05,14
2009-06,18
2009-07,24
2009-08,14
2009-09,12
2009-10,14
2009-11,19
2009-12,17
2010-01,18
2010-02,15
2010-03,18
2010-04,18
2010-05,18
2010-06,25
2010-07,30
2010-08,20
2010-09,19
2010-10,17
2010-11,23
2010-12,21
2011-01,24
2011-02,25
2011-03,23
2011-04,25
2011-05,30
2011-06,29
2011-07,44
2011-08,28
2011-09,24
2011-10,22
2011-11,26
2011-12,24
2012-01,23
2012-02,27
2012-03,27
2012-04,41
2012-05,32
2012-06,36
2012-07,46
2012-08,34
2012-09,33
2012-10,29
2012-11,32
2012-12,28
2013-01,29
2013-02,29
2013-03,33
2013-04,34
2013-05,36
2013-06,46
2013-07,58
2013-08,45
2013-09,52
2013-10,34
2013-11,33
2013-12,34
2014-01,34
2014-02,37
2014-03,39
2014-04,44
2014-05,39
2014-06,44
2014-07,52
2014-08,44
2014-09,36
2014-10,46
2014-11,42
2014-12,40
2015-01,43
2015-02,47
2015-03,42
2015-04,53
2015-05,51
2015-06,66
2015-07,68
2015-08,47
2015-09,41
2015-10,50
2015-11,47
2015-12,50
2016-01,43
2016-02,45
2016-03,51
2016-04,48
2016-05,53
2016-06,61
2016-07,72
2016-08,50
2016-09,39
2016-10,42
2016-11,42
2016-12,47
2017-01,50
2017-02,55
2017-03,64
2017-04,71
2017-05,53
2017-06,58
2017-07,70
2017-08,56
2017-09,52
2017-10,53
2017-11,72
2017-12,50
2018-01,57
2018-02,53
2018-03,48
2018-04,63
2018-05,62
2018-06,66
2018-07,70
2018-08,54
2018-09,54
2018-10,48
2018-11,55
2018-12,66
2019-01,60
2019-02,49
2019-03,55
2019-04,100
2019-05,67
2019-06,88
2019-07,80
2019-08,55
2019-09,53
2019-10,58
2019-11,49
2019-12,43
2020-01,46
2020-02,49
2020-03,23
2020-04,2
2020-05,2
2020-06,2
2020-07,2
2020-08,5
2020-09,8
2020-10,7
2020-11,8
2020-12,7
2021-01,4
2021-02,6
2021-03,8
2021-04,8
2021-05,8
2021-06,26
2021-07,21
2021-08,14
2021-09,11
2021-10,18
2021-11,29
2021-12,37
2022-01,17
2022-02,16
2022-03,23
