Categoría: Todas las categorías

Mes,Cinépolis: (México)
2004-01,17
2004-02,16
2004-03,20
2004-04,19
2004-05,20
2004-06,29
2004-07,24
2004-08,17
2004-09,16
2004-10,16
2004-11,17
2004-12,23
2005-01,22
2005-02,18
2005-03,23
2005-04,16
2005-05,20
2005-06,27
2005-07,30
2005-08,22
2005-09,19
2005-10,19
2005-11,31
2005-12,31
2006-01,25
2006-02,23
2006-03,29
2006-04,36
2006-05,35
2006-06,31
2006-07,45
2006-08,28
2006-09,21
2006-10,21
2006-11,26
2006-12,33
2007-01,36
2007-02,30
2007-03,34
2007-04,36
2007-05,51
2007-06,37
2007-07,62
2007-08,33
2007-09,23
2007-10,24
2007-11,28
2007-12,33
2008-01,39
2008-02,31
2008-03,41
2008-04,28
2008-05,39
2008-06,45
2008-07,60
2008-08,36
2008-09,36
2008-10,32
2008-11,36
2008-12,41
2009-01,40
2009-02,37
2009-03,39
2009-04,46
2009-05,36
2009-06,49
2009-07,69
2009-08,41
2009-09,33
2009-10,38
2009-11,53
2009-12,46
2010-01,47
2010-02,41
2010-03,49
2010-04,46
2010-05,42
2010-06,61
2010-07,68
2010-08,45
2010-09,45
2010-10,41
2010-11,48
2010-12,42
2011-01,40
2011-02,41
2011-03,42
2011-04,45
2011-05,50
2011-06,48
2011-07,72
2011-08,54
2011-09,48
2011-10,48
2011-11,55
2011-12,52
2012-01,48
2012-02,49
2012-03,47
2012-04,62
2012-05,51
2012-06,56
2012-07,65
2012-08,47
2012-09,50
2012-10,43
2012-11,49
2012-12,45
2013-01,43
2013-02,41
2013-03,45
2013-04,47
2013-05,51
2013-06,60
2013-07,65
2013-08,55
2013-09,59
2013-10,42
2013-11,40
2013-12,40
2014-01,40
2014-02,40
2014-03,48
2014-04,49
2014-05,46
2014-06,51
2014-07,54
2014-08,47
2014-09,41
2014-10,50
2014-11,45
2014-12,44
2015-01,47
2015-02,50
2015-03,42
2015-04,55
2015-05,49
2015-06,66
2015-07,68
2015-08,48
2015-09,45
2015-10,47
2015-11,47
2015-12,45
2016-01,49
2016-02,50
2016-03,58
2016-04,51
2016-05,53
2016-06,62
2016-07,70
2016-08,59
2016-09,44
2016-10,46
2016-11,44
2016-12,51
2017-01,54
2017-02,61
2017-03,66
2017-04,74
2017-05,59
2017-06,63
2017-07,75
2017-08,60
2017-09,60
2017-10,55
2017-11,73
2017-12,55
2018-01,60
2018-02,56
2018-03,52
2018-04,74
2018-05,65
2018-06,67
2018-07,75
2018-08,60
2018-09,60
2018-10,50
2018-11,60
2018-12,68
2019-01,64
2019-02,53
2019-03,60
2019-04,100
2019-05,69
2019-06,88
2019-07,82
2019-08,58
2019-09,58
2019-10,60
2019-11,53
2019-12,50
2020-01,50
2020-02,51
2020-03,28
2020-04,4
2020-05,3
2020-06,5
2020-07,4
2020-08,9
2020-09,11
2020-10,10
2020-11,10
2020-12,10
2021-01,8
2021-02,9
2021-03,25
2021-04,32
2021-05,26
2021-06,51
2021-07,34
2021-08,24
2021-09,19
2021-10,28
2021-11,41
2021-12,50
2022-01,27
2022-02,31
2022-03,41
