Categoría: Todas las categorías

Mes,Coppel: (México)
2004-01,4
2004-02,3
2004-03,2
2004-04,3
2004-05,3
2004-06,4
2004-07,4
2004-08,3
2004-09,3
2004-10,3
2004-11,5
2004-12,5
2005-01,5
2005-02,3
2005-03,4
2005-04,4
2005-05,6
2005-06,5
2005-07,6
2005-08,6
2005-09,4
2005-10,4
2005-11,5
2005-12,7
2006-01,6
2006-02,6
2006-03,5
2006-04,6
2006-05,6
2006-06,6
2006-07,7
2006-08,7
2006-09,6
2006-10,5
2006-11,6
2006-12,9
2007-01,9
2007-02,6
2007-03,5
2007-04,6
2007-05,7
2007-06,7
2007-07,7
2007-08,7
2007-09,6
2007-10,6
2007-11,7
2007-12,10
2008-01,8
2008-02,6
2008-03,7
2008-04,7
2008-05,8
2008-06,7
2008-07,8
2008-08,8
2008-09,8
2008-10,8
2008-11,8
2008-12,11
2009-01,11
2009-02,7
2009-03,7
2009-04,9
2009-05,9
2009-06,8
2009-07,11
2009-08,11
2009-09,9
2009-10,10
2009-11,11
2009-12,15
2010-01,14
2010-02,10
2010-03,10
2010-04,10
2010-05,11
2010-06,11
2010-07,11
2010-08,11
2010-09,10
2010-10,11
2010-11,15
2010-12,18
2011-01,13
2011-02,9
2011-03,9
2011-04,10
2011-05,10
2011-06,9
2011-07,11
2011-08,10
2011-09,10
2011-10,10
2011-11,17
2011-12,17
2012-01,18
2012-02,11
2012-03,10
2012-04,9
2012-05,9
2012-06,9
2012-07,10
2012-08,10
2012-09,9
2012-10,10
2012-11,16
2012-12,16
2013-01,18
2013-02,10
2013-03,11
2013-04,12
2013-05,13
2013-06,13
2013-07,13
2013-08,14
2013-09,12
2013-10,13
2013-11,21
2013-12,20
2014-01,20
2014-02,14
2014-03,15
2014-04,16
2014-05,17
2014-06,17
2014-07,19
2014-08,19
2014-09,18
2014-10,19
2014-11,28
2014-12,29
2015-01,27
2015-02,20
2015-03,22
2015-04,23
2015-05,25
2015-06,24
2015-07,28
2015-08,28
2015-09,24
2015-10,25
2015-11,35
2015-12,40
2016-01,30
2016-02,23
2016-03,22
2016-04,23
2016-05,25
2016-06,25
2016-07,29
2016-08,25
2016-09,25
2016-10,25
2016-11,35
2016-12,39
2017-01,34
2017-02,27
2017-03,26
2017-04,30
2017-05,31
2017-06,30
2017-07,31
2017-08,30
2017-09,29
2017-10,31
2017-11,44
2017-12,49
2018-01,40
2018-02,32
2018-03,34
2018-04,35
2018-05,38
2018-06,37
2018-07,40
2018-08,41
2018-09,37
2018-10,36
2018-11,52
2018-12,61
2019-01,48
2019-02,40
2019-03,42
2019-04,46
2019-05,53
2019-06,49
2019-07,51
2019-08,51
2019-09,46
2019-10,46
2019-11,68
2019-12,75
2020-01,60
2020-02,46
2020-03,51
2020-04,71
2020-05,89
2020-06,80
2020-07,80
2020-08,74
2020-09,63
2020-10,61
2020-11,97
2020-12,100
2021-01,80
2021-02,66
2021-03,63
2021-04,67
2021-05,71
2021-06,63
2021-07,67
2021-08,73
2021-09,56
2021-10,58
2021-11,82
2021-12,91
2022-01,63
2022-02,58
2022-03,57
