Categoría: Todas las categorías

Mes,Empleo: (México)
2004-01,52
2004-02,43
2004-03,40
2004-04,38
2004-05,40
2004-06,50
2004-07,49
2004-08,46
2004-09,37
2004-10,36
2004-11,33
2004-12,29
2005-01,47
2005-02,39
2005-03,41
2005-04,40
2005-05,40
2005-06,44
2005-07,49
2005-08,42
2005-09,36
2005-10,34
2005-11,32
2005-12,27
2006-01,43
2006-02,38
2006-03,37
2006-04,34
2006-05,40
2006-06,39
2006-07,42
2006-08,39
2006-09,34
2006-10,34
2006-11,29
2006-12,24
2007-01,41
2007-02,37
2007-03,38
2007-04,35
2007-05,36
2007-06,38
2007-07,42
2007-08,38
2007-09,33
2007-10,31
2007-11,29
2007-12,25
2008-01,39
2008-02,35
2008-03,91
2008-04,69
2008-05,53
2008-06,62
2008-07,68
2008-08,63
2008-09,59
2008-10,57
2008-11,54
2008-12,41
2009-01,87
2009-02,80
2009-03,77
2009-04,76
2009-05,81
2009-06,84
2009-07,100
2009-08,95
2009-09,82
2009-10,78
2009-11,71
2009-12,55
2010-01,90
2010-02,85
2010-03,81
2010-04,79
2010-05,73
2010-06,76
2010-07,88
2010-08,84
2010-09,67
2010-10,61
2010-11,57
2010-12,47
2011-01,75
2011-02,70
2011-03,66
2011-04,58
2011-05,62
2011-06,70
2011-07,68
2011-08,70
2011-09,64
2011-10,59
2011-11,55
2011-12,46
2012-01,59
2012-02,51
2012-03,50
2012-04,42
2012-05,42
2012-06,42
2012-07,47
2012-08,50
2012-09,44
2012-10,41
2012-11,36
2012-12,28
2013-01,51
2013-02,47
2013-03,45
2013-04,50
2013-05,47
2013-06,50
2013-07,56
2013-08,51
2013-09,48
2013-10,47
2013-11,39
2013-12,31
2014-01,54
2014-02,51
2014-03,50
2014-04,47
2014-05,49
2014-06,52
2014-07,54
2014-08,53
2014-09,50
2014-10,47
2014-11,42
2014-12,34
2015-01,54
2015-02,50
2015-03,47
2015-04,45
2015-05,44
2015-06,49
2015-07,50
2015-08,48
2015-09,44
2015-10,40
2015-11,36
2015-12,30
2016-01,47
2016-02,44
2016-03,41
2016-04,42
2016-05,40
2016-06,43
2016-07,43
2016-08,43
2016-09,39
2016-10,36
2016-11,32
2016-12,27
2017-01,44
2017-02,40
2017-03,40
2017-04,36
2017-05,39
2017-06,44
2017-07,42
2017-08,42
2017-09,35
2017-10,35
2017-11,31
2017-12,25
2018-01,42
2018-02,39
2018-03,33
2018-04,36
2018-05,35
2018-06,33
2018-07,38
2018-08,39
2018-09,34
2018-10,34
2018-11,29
2018-12,25
2019-01,41
2019-02,38
2019-03,38
2019-04,34
2019-05,36
2019-06,38
2019-07,39
2019-08,39
2019-09,35
2019-10,33
2019-11,29
2019-12,24
2020-01,39
2020-02,35
2020-03,30
2020-04,23
2020-05,24
2020-06,33
2020-07,38
2020-08,33
2020-09,31
2020-10,28
2020-11,24
2020-12,19
2021-01,29
2021-02,29
2021-03,27
2021-04,27
2021-05,26
2021-06,29
2021-07,29
2021-08,29
2021-09,23
2021-10,22
2021-11,20
2021-12,17
2022-01,24
2022-02,24
2022-03,20
