Categoría: Todas las categorías

Mes,flight to mexico: (Estados Unidos)
2004-01,18
2004-02,19
2004-03,11
2004-04,17
2004-05,17
2004-06,27
2004-07,16
2004-08,9
2004-09,9
2004-10,7
2004-11,7
2004-12,7
2005-01,11
2005-02,33
2005-03,11
2005-04,18
2005-05,12
2005-06,24
2005-07,16
2005-08,11
2005-09,15
2005-10,9
2005-11,13
2005-12,20
2006-01,23
2006-02,19
2006-03,15
2006-04,14
2006-05,13
2006-06,19
2006-07,13
2006-08,15
2006-09,15
2006-10,16
2006-11,18
2006-12,13
2007-01,28
2007-02,14
2007-03,19
2007-04,17
2007-05,15
2007-06,21
2007-07,25
2007-08,14
2007-09,19
2007-10,19
2007-11,18
2007-12,25
2008-01,27
2008-02,25
2008-03,26
2008-04,17
2008-05,25
2008-06,20
2008-07,20
2008-08,16
2008-09,17
2008-10,21
2008-11,21
2008-12,19
2009-01,27
2009-02,25
2009-03,22
2009-04,25
2009-05,21
2009-06,26
2009-07,28
2009-08,23
2009-09,21
2009-10,18
2009-11,25
2009-12,20
2010-01,30
2010-02,33
2010-03,32
2010-04,28
2010-05,30
2010-06,22
2010-07,26
2010-08,25
2010-09,21
2010-10,24
2010-11,19
2010-12,25
2011-01,30
2011-02,26
2011-03,25
2011-04,25
2011-05,25
2011-06,27
2011-07,30
2011-08,23
2011-09,25
2011-10,25
2011-11,23
2011-12,27
2012-01,33
2012-02,34
2012-03,30
2012-04,22
2012-05,29
2012-06,32
2012-07,32
2012-08,31
2012-09,24
2012-10,27
2012-11,29
2012-12,29
2013-01,34
2013-02,27
2013-03,29
2013-04,27
2013-05,29
2013-06,32
2013-07,34
2013-08,29
2013-09,25
2013-10,26
2013-11,30
2013-12,30
2014-01,41
2014-02,36
2014-03,37
2014-04,35
2014-05,36
2014-06,39
2014-07,38
2014-08,32
2014-09,34
2014-10,27
2014-11,34
2014-12,34
2015-01,43
2015-02,36
2015-03,43
2015-04,32
2015-05,40
2015-06,39
2015-07,48
2015-08,44
2015-09,39
2015-10,43
2015-11,41
2015-12,47
2016-01,56
2016-02,54
2016-03,54
2016-04,48
2016-05,57
2016-06,55
2016-07,57
2016-08,46
2016-09,45
2016-10,50
2016-11,52
2016-12,54
2017-01,70
2017-02,54
2017-03,65
2017-04,62
2017-05,66
2017-06,69
2017-07,64
2017-08,58
2017-09,47
2017-10,49
2017-11,56
2017-12,63
2018-01,80
2018-02,67
2018-03,71
2018-04,60
2018-05,65
2018-06,74
2018-07,72
2018-08,59
2018-09,57
2018-10,60
2018-11,65
2018-12,68
2019-01,76
2019-02,70
2019-03,77
2019-04,67
2019-05,70
2019-06,82
2019-07,73
2019-08,67
2019-09,58
2019-10,58
2019-11,67
2019-12,73
2020-01,76
2020-02,72
2020-03,81
2020-04,24
2020-05,29
2020-06,40
2020-07,41
2020-08,42
2020-09,46
2020-10,43
2020-11,44
2020-12,49
2021-01,53
2021-02,56
2021-03,74
2021-04,69
2021-05,80
2021-06,88
2021-07,83
2021-08,72
2021-09,56
2021-10,64
2021-11,70
2021-12,83
2022-01,88
2022-02,89
2022-03,100
