Categoría: Todas las categorías

Mes,Ford: (México)
2004-01,90
2004-02,82
2004-03,68
2004-04,93
2004-05,77
2004-06,88
2004-07,83
2004-08,82
2004-09,83
2004-10,82
2004-11,85
2004-12,98
2005-01,95
2005-02,89
2005-03,89
2005-04,83
2005-05,84
2005-06,88
2005-07,96
2005-08,94
2005-09,89
2005-10,87
2005-11,90
2005-12,100
2006-01,89
2006-02,83
2006-03,73
2006-04,85
2006-05,75
2006-06,75
2006-07,90
2006-08,85
2006-09,84
2006-10,84
2006-11,89
2006-12,93
2007-01,89
2007-02,78
2007-03,85
2007-04,84
2007-05,74
2007-06,79
2007-07,91
2007-08,78
2007-09,72
2007-10,77
2007-11,76
2007-12,82
2008-01,82
2008-02,72
2008-03,75
2008-04,72
2008-05,72
2008-06,75
2008-07,79
2008-08,74
2008-09,69
2008-10,68
2008-11,69
2008-12,70
2009-01,64
2009-02,60
2009-03,58
2009-04,60
2009-05,62
2009-06,63
2009-07,69
2009-08,72
2009-09,63
2009-10,63
2009-11,65
2009-12,69
2010-01,66
2010-02,61
2010-03,59
2010-04,56
2010-05,61
2010-06,58
2010-07,67
2010-08,71
2010-09,57
2010-10,58
2010-11,57
2010-12,61
2011-01,65
2011-02,52
2011-03,55
2011-04,53
2011-05,61
2011-06,57
2011-07,60
2011-08,68
2011-09,63
2011-10,62
2011-11,62
2011-12,62
2012-01,58
2012-02,55
2012-03,58
2012-04,57
2012-05,57
2012-06,53
2012-07,63
2012-08,61
2012-09,60
2012-10,57
2012-11,59
2012-12,59
2013-01,65
2013-02,58
2013-03,63
2013-04,64
2013-05,60
2013-06,62
2013-07,71
2013-08,63
2013-09,57
2013-10,58
2013-11,61
2013-12,66
2014-01,62
2014-02,59
2014-03,60
2014-04,61
2014-05,62
2014-06,63
2014-07,69
2014-08,67
2014-09,63
2014-10,63
2014-11,65
2014-12,70
2015-01,73
2015-02,71
2015-03,69
2015-04,69
2015-05,65
2015-06,71
2015-07,74
2015-08,73
2015-09,68
2015-10,72
2015-11,69
2015-12,77
2016-01,70
2016-02,68
2016-03,68
2016-04,67
2016-05,67
2016-06,70
2016-07,78
2016-08,70
2016-09,71
2016-10,70
2016-11,73
2016-12,75
2017-01,77
2017-02,65
2017-03,66
2017-04,67
2017-05,67
2017-06,69
2017-07,73
2017-08,70
2017-09,64
2017-10,65
2017-11,69
2017-12,73
2018-01,71
2018-02,71
2018-03,70
2018-04,67
2018-05,65
2018-06,63
2018-07,72
2018-08,69
2018-09,67
2018-10,67
2018-11,68
2018-12,71
2019-01,70
2019-02,69
2019-03,72
2019-04,70
2019-05,69
2019-06,68
2019-07,72
2019-08,68
2019-09,65
2019-10,63
2019-11,69
2019-12,72
2020-01,72
2020-02,66
2020-03,60
2020-04,55
2020-05,58
2020-06,65
2020-07,79
2020-08,71
2020-09,61
2020-10,62
2020-11,62
2020-12,70
2021-01,74
2021-02,68
2021-03,68
2021-04,71
2021-05,66
2021-06,73
2021-07,76
2021-08,73
2021-09,64
2021-10,66
2021-11,68
2021-12,75
2022-01,73
2022-02,71
2022-03,57
