Categoría: Todas las categorías

Mes,Honda: (México)
2004-01,47
2004-02,42
2004-03,48
2004-04,42
2004-05,44
2004-06,46
2004-07,51
2004-08,45
2004-09,44
2004-10,43
2004-11,43
2004-12,59
2005-01,52
2005-02,53
2005-03,54
2005-04,44
2005-05,44
2005-06,56
2005-07,58
2005-08,56
2005-09,60
2005-10,63
2005-11,66
2005-12,71
2006-01,74
2006-02,62
2006-03,59
2006-04,59
2006-05,57
2006-06,59
2006-07,72
2006-08,66
2006-09,63
2006-10,71
2006-11,65
2006-12,70
2007-01,72
2007-02,61
2007-03,61
2007-04,63
2007-05,63
2007-06,61
2007-07,66
2007-08,64
2007-09,57
2007-10,62
2007-11,70
2007-12,73
2008-01,69
2008-02,61
2008-03,64
2008-04,61
2008-05,60
2008-06,64
2008-07,68
2008-08,58
2008-09,65
2008-10,60
2008-11,58
2008-12,66
2009-01,63
2009-02,55
2009-03,57
2009-04,59
2009-05,57
2009-06,57
2009-07,62
2009-08,64
2009-09,55
2009-10,67
2009-11,62
2009-12,66
2010-01,65
2010-02,56
2010-03,55
2010-04,53
2010-05,54
2010-06,50
2010-07,57
2010-08,56
2010-09,52
2010-10,53
2010-11,52
2010-12,55
2011-01,50
2011-02,46
2011-03,45
2011-04,46
2011-05,44
2011-06,44
2011-07,46
2011-08,46
2011-09,45
2011-10,46
2011-11,45
2011-12,50
2012-01,48
2012-02,46
2012-03,47
2012-04,48
2012-05,46
2012-06,47
2012-07,52
2012-08,51
2012-09,49
2012-10,51
2012-11,55
2012-12,53
2013-01,59
2013-02,59
2013-03,61
2013-04,57
2013-05,56
2013-06,57
2013-07,64
2013-08,62
2013-09,53
2013-10,57
2013-11,59
2013-12,63
2014-01,65
2014-02,63
2014-03,64
2014-04,64
2014-05,66
2014-06,68
2014-07,71
2014-08,71
2014-09,67
2014-10,70
2014-11,73
2014-12,73
2015-01,77
2015-02,74
2015-03,72
2015-04,73
2015-05,79
2015-06,82
2015-07,83
2015-08,85
2015-09,76
2015-10,77
2015-11,76
2015-12,83
2016-01,78
2016-02,73
2016-03,74
2016-04,76
2016-05,76
2016-06,77
2016-07,86
2016-08,78
2016-09,81
2016-10,81
2016-11,83
2016-12,88
2017-01,93
2017-02,87
2017-03,87
2017-04,87
2017-05,86
2017-06,86
2017-07,100
2017-08,89
2017-09,83
2017-10,87
2017-11,91
2017-12,92
2018-01,95
2018-02,92
2018-03,95
2018-04,88
2018-05,86
2018-06,83
2018-07,93
2018-08,94
2018-09,90
2018-10,88
2018-11,91
2018-12,92
2019-01,96
2019-02,90
2019-03,96
2019-04,91
2019-05,86
2019-06,90
2019-07,91
2019-08,92
2019-09,94
2019-10,83
2019-11,91
2019-12,91
2020-01,94
2020-02,87
2020-03,74
2020-04,62
2020-05,71
2020-06,84
2020-07,95
2020-08,89
2020-09,77
2020-10,76
2020-11,83
2020-12,82
2021-01,87
2021-02,83
2021-03,86
2021-04,87
2021-05,83
2021-06,86
2021-07,94
2021-08,94
2021-09,74
2021-10,78
2021-11,82
2021-12,88
2022-01,89
2022-02,83
2022-03,73
