Categoría: Todas las categorías

Mes,Hotels in mexico: (Todo el mundo)
2004-01,100
2004-02,63
2004-03,57
2004-04,59
2004-05,62
2004-06,65
2004-07,73
2004-08,73
2004-09,52
2004-10,49
2004-11,59
2004-12,54
2005-01,70
2005-02,69
2005-03,86
2005-04,66
2005-05,58
2005-06,51
2005-07,61
2005-08,50
2005-09,54
2005-10,56
2005-11,40
2005-12,50
2006-01,71
2006-02,55
2006-03,62
2006-04,53
2006-05,49
2006-06,47
2006-07,53
2006-08,46
2006-09,51
2006-10,51
2006-11,45
2006-12,48
2007-01,57
2007-02,61
2007-03,51
2007-04,45
2007-05,45
2007-06,47
2007-07,55
2007-08,45
2007-09,42
2007-10,42
2007-11,39
2007-12,38
2008-01,58
2008-02,54
2008-03,53
2008-04,45
2008-05,43
2008-06,51
2008-07,46
2008-08,45
2008-09,36
2008-10,32
2008-11,34
2008-12,42
2009-01,51
2009-02,46
2009-03,45
2009-04,33
2009-05,30
2009-06,34
2009-07,35
2009-08,35
2009-09,30
2009-10,34
2009-11,34
2009-12,37
2010-01,48
2010-02,41
2010-03,39
2010-04,35
2010-05,37
2010-06,40
2010-07,38
2010-08,31
2010-09,30
2010-10,23
2010-11,28
2010-12,21
2011-01,35
2011-02,29
2011-03,27
2011-04,28
2011-05,27
2011-06,32
2011-07,31
2011-08,26
2011-09,22
2011-10,22
2011-11,21
2011-12,25
2012-01,32
2012-02,28
2012-03,27
2012-04,23
2012-05,26
2012-06,28
2012-07,30
2012-08,26
2012-09,22
2012-10,20
2012-11,19
2012-12,22
2013-01,30
2013-02,27
2013-03,25
2013-04,22
2013-05,25
2013-06,27
2013-07,27
2013-08,26
2013-09,22
2013-10,21
2013-11,22
2013-12,21
2014-01,33
2014-02,28
2014-03,25
2014-04,23
2014-05,26
2014-06,28
2014-07,29
2014-08,25
2014-09,23
2014-10,21
2014-11,20
2014-12,21
2015-01,30
2015-02,27
2015-03,26
2015-04,25
2015-05,25
2015-06,30
2015-07,31
2015-08,28
2015-09,24
2015-10,24
2015-11,22
2015-12,23
2016-01,31
2016-02,30
2016-03,31
2016-04,28
2016-05,30
2016-06,33
2016-07,33
2016-08,30
2016-09,29
2016-10,28
2016-11,28
2016-12,30
2017-01,41
2017-02,32
2017-03,34
2017-04,33
2017-05,34
2017-06,41
2017-07,37
2017-08,32
2017-09,28
2017-10,29
2017-11,29
2017-12,28
2018-01,39
2018-02,33
2018-03,35
2018-04,28
2018-05,32
2018-06,33
2018-07,36
2018-08,30
2018-09,26
2018-10,27
2018-11,27
2018-12,26
2019-01,33
2019-02,31
2019-03,30
2019-04,27
2019-05,30
2019-06,32
2019-07,29
2019-08,28
2019-09,27
2019-10,25
2019-11,25
2019-12,29
2020-01,35
2020-02,32
2020-03,20
2020-04,12
2020-05,17
2020-06,20
2020-07,20
2020-08,22
2020-09,22
2020-10,21
2020-11,18
2020-12,18
2021-01,22
2021-02,23
2021-03,30
2021-04,31
2021-05,32
2021-06,37
2021-07,36
2021-08,28
2021-09,28
2021-10,28
2021-11,30
2021-12,28
2022-01,35
2022-02,37
2022-03,37
