Categoría: Todas las categorías

Mes,Interjet: (Todo el mundo)
2004-01,1
2004-02,<1
2004-03,0
2004-04,1
2004-05,<1
2004-06,1
2004-07,<1
2004-08,1
2004-09,<1
2004-10,<1
2004-11,<1
2004-12,<1
2005-01,1
2005-02,0
2005-03,1
2005-04,<1
2005-05,<1
2005-06,1
2005-07,1
2005-08,1
2005-09,1
2005-10,2
2005-11,6
2005-12,18
2006-01,18
2006-02,19
2006-03,29
2006-04,23
2006-05,26
2006-06,38
2006-07,49
2006-08,37
2006-09,33
2006-10,34
2006-11,36
2006-12,34
2007-01,35
2007-02,37
2007-03,49
2007-04,40
2007-05,46
2007-06,55
2007-07,57
2007-08,50
2007-09,42
2007-10,47
2007-11,51
2007-12,44
2008-01,55
2008-02,58
2008-03,54
2008-04,58
2008-05,58
2008-06,62
2008-07,66
2008-08,57
2008-09,56
2008-10,57
2008-11,66
2008-12,62
2009-01,67
2009-02,64
2009-03,75
2009-04,69
2009-05,60
2009-06,66
2009-07,69
2009-08,59
2009-09,55
2009-10,53
2009-11,55
2009-12,56
2010-01,53
2010-02,53
2010-03,57
2010-04,51
2010-05,50
2010-06,53
2010-07,56
2010-08,62
2010-09,64
2010-10,68
2010-11,65
2010-12,58
2011-01,75
2011-02,68
2011-03,76
2011-04,74
2011-05,74
2011-06,77
2011-07,83
2011-08,78
2011-09,68
2011-10,71
2011-11,80
2011-12,65
2012-01,81
2012-02,70
2012-03,73
2012-04,63
2012-05,65
2012-06,68
2012-07,80
2012-08,76
2012-09,64
2012-10,76
2012-11,81
2012-12,59
2013-01,73
2013-02,65
2013-03,70
2013-04,69
2013-05,75
2013-06,90
2013-07,93
2013-08,98
2013-09,75
2013-10,76
2013-11,79
2013-12,68
2014-01,84
2014-02,69
2014-03,75
2014-04,73
2014-05,85
2014-06,82
2014-07,94
2014-08,100
2014-09,83
2014-10,92
2014-11,90
2014-12,76
2015-01,91
2015-02,79
2015-03,90
2015-04,88
2015-05,100
2015-06,93
2015-07,99
2015-08,92
2015-09,87
2015-10,89
2015-11,94
2015-12,83
2016-01,76
2016-02,69
2016-03,74
2016-04,74
2016-05,79
2016-06,80
2016-07,85
2016-08,79
2016-09,73
2016-10,74
2016-11,89
2016-12,76
2017-01,77
2017-02,73
2017-03,79
2017-04,72
2017-05,83
2017-06,86
2017-07,83
2017-08,94
2017-09,69
2017-10,87
2017-11,94
2017-12,73
2018-01,87
2018-02,76
2018-03,90
2018-04,85
2018-05,88
2018-06,78
2018-07,81
2018-08,75
2018-09,66
2018-10,73
2018-11,83
2018-12,65
2019-01,81
2019-02,72
2019-03,93
2019-04,83
2019-05,95
2019-06,83
2019-07,86
2019-08,83
2019-09,77
2019-10,79
2019-11,89
2019-12,75
2020-01,86
2020-02,76
2020-03,68
2020-04,19
2020-05,17
2020-06,18
2020-07,18
2020-08,19
2020-09,24
2020-10,19
2020-11,18
2020-12,11
2021-01,10
2021-02,9
2021-03,10
2021-04,9
2021-05,9
2021-06,9
2021-07,8
2021-08,5
2021-09,5
2021-10,5
2021-11,5
2021-12,5
2022-01,4
2022-02,4
2022-03,4
