Categoría: Todas las categorías

Mes,mexico: (Todo el mundo)
2004-01,71
2004-02,75
2004-03,75
2004-04,70
2004-05,76
2004-06,69
2004-07,60
2004-08,67
2004-09,75
2004-10,69
2004-11,70
2004-12,60
2005-01,66
2005-02,70
2005-03,68
2005-04,70
2005-05,68
2005-06,66
2005-07,61
2005-08,65
2005-09,73
2005-10,71
2005-11,63
2005-12,56
2006-01,63
2006-02,66
2006-03,67
2006-04,58
2006-05,65
2006-06,68
2006-07,59
2006-08,57
2006-09,62
2006-10,61
2006-11,60
2006-12,52
2007-01,59
2007-02,61
2007-03,62
2007-04,55
2007-05,60
2007-06,59
2007-07,58
2007-08,59
2007-09,62
2007-10,60
2007-11,58
2007-12,49
2008-01,59
2008-02,60
2008-03,56
2008-04,61
2008-05,58
2008-06,57
2008-07,56
2008-08,59
2008-09,63
2008-10,62
2008-11,57
2008-12,49
2009-01,57
2009-02,60
2009-03,63
2009-04,70
2009-05,65
2009-06,68
2009-07,66
2009-08,69
2009-09,77
2009-10,76
2009-11,73
2009-12,67
2010-01,78
2010-02,84
2010-03,82
2010-04,83
2010-05,89
2010-06,100
2010-07,73
2010-08,73
2010-09,76
2010-10,70
2010-11,68
2010-12,59
2011-01,65
2011-02,72
2011-03,73
2011-04,66
2011-05,71
2011-06,79
2011-07,70
2011-08,72
2011-09,72
2011-10,69
2011-11,67
2011-12,55
2012-01,60
2012-02,60
2012-03,66
2012-04,57
2012-05,61
2012-06,59
2012-07,60
2012-08,65
2012-09,62
2012-10,57
2012-11,55
2012-12,49
2013-01,54
2013-02,56
2013-03,57
2013-04,54
2013-05,52
2013-06,59
2013-07,53
2013-08,55
2013-09,61
2013-10,60
2013-11,59
2013-12,47
2014-01,53
2014-02,54
2014-03,55
2014-04,53
2014-05,58
2014-06,95
2014-07,52
2014-08,52
2014-09,58
2014-10,55
2014-11,55
2014-12,46
2015-01,53
2015-02,54
2015-03,54
2015-04,53
2015-05,50
2015-06,58
2015-07,57
2015-08,50
2015-09,59
2015-10,62
2015-11,56
2015-12,46
2016-01,53
2016-02,57
2016-03,52
2016-04,52
2016-05,52
2016-06,65
2016-07,49
2016-08,54
2016-09,57
2016-10,53
2016-11,57
2016-12,47
2017-01,57
2017-02,56
2017-03,57
2017-04,48
2017-05,51
2017-06,72
2017-07,56
2017-08,52
2017-09,86
2017-10,57
2017-11,55
2017-12,47
2018-01,53
2018-02,56
2018-03,57
2018-04,51
2018-05,54
2018-06,90
2018-07,67
2018-08,50
2018-09,54
2018-10,57
2018-11,58
2018-12,49
2019-01,53
2019-02,51
2019-03,53
2019-04,46
2019-05,51
2019-06,58
2019-07,55
2019-08,50
2019-09,56
2019-10,56
2019-11,56
2019-12,45
2020-01,49
2020-02,55
2020-03,62
2020-04,51
2020-05,53
2020-06,50
2020-07,47
2020-08,45
2020-09,51
2020-10,49
2020-11,47
2020-12,43
2021-01,44
2021-02,45
2021-03,51
2021-04,43
2021-05,46
2021-06,52
2021-07,63
2021-08,52
2021-09,50
2021-10,48
2021-11,52
2021-12,44
2022-01,46
2022-02,48
2022-03,47
