Categoría: Todas las categorías

Mes,MoneyGram: (Estados Unidos)
2004-01,11
2004-02,8
2004-03,10
2004-04,11
2004-05,11
2004-06,12
2004-07,16
2004-08,13
2004-09,12
2004-10,12
2004-11,11
2004-12,15
2005-01,13
2005-02,12
2005-03,13
2005-04,12
2005-05,14
2005-06,15
2005-07,16
2005-08,15
2005-09,19
2005-10,19
2005-11,19
2005-12,20
2006-01,20
2006-02,20
2006-03,22
2006-04,19
2006-05,24
2006-06,25
2006-07,26
2006-08,26
2006-09,26
2006-10,25
2006-11,22
2006-12,30
2007-01,25
2007-02,29
2007-03,28
2007-04,29
2007-05,31
2007-06,31
2007-07,30
2007-08,32
2007-09,33
2007-10,33
2007-11,31
2007-12,36
2008-01,33
2008-02,33
2008-03,35
2008-04,36
2008-05,37
2008-06,37
2008-07,42
2008-08,41
2008-09,41
2008-10,40
2008-11,38
2008-12,42
2009-01,40
2009-02,38
2009-03,36
2009-04,33
2009-05,37
2009-06,38
2009-07,40
2009-08,39
2009-09,38
2009-10,37
2009-11,35
2009-12,38
2010-01,36
2010-02,37
2010-03,36
2010-04,35
2010-05,36
2010-06,40
2010-07,44
2010-08,43
2010-09,41
2010-10,40
2010-11,39
2010-12,43
2011-01,42
2011-02,44
2011-03,44
2011-04,44
2011-05,44
2011-06,47
2011-07,47
2011-08,48
2011-09,50
2011-10,46
2011-11,47
2011-12,50
2012-01,46
2012-02,46
2012-03,45
2012-04,47
2012-05,49
2012-06,52
2012-07,51
2012-08,58
2012-09,54
2012-10,55
2012-11,52
2012-12,57
2013-01,51
2013-02,58
2013-03,60
2013-04,59
2013-05,64
2013-06,69
2013-07,73
2013-08,75
2013-09,67
2013-10,67
2013-11,65
2013-12,72
2014-01,70
2014-02,74
2014-03,74
2014-04,74
2014-05,76
2014-06,66
2014-07,72
2014-08,70
2014-09,65
2014-10,65
2014-11,62
2014-12,67
2015-01,66
2015-02,73
2015-03,73
2015-04,75
2015-05,74
2015-06,84
2015-07,90
2015-08,92
2015-09,83
2015-10,78
2015-11,67
2015-12,78
2016-01,83
2016-02,90
2016-03,85
2016-04,86
2016-05,91
2016-06,95
2016-07,99
2016-08,92
2016-09,92
2016-10,88
2016-11,84
2016-12,95
2017-01,82
2017-02,86
2017-03,85
2017-04,89
2017-05,97
2017-06,100
2017-07,99
2017-08,95
2017-09,94
2017-10,87
2017-11,84
2017-12,92
2018-01,87
2018-02,85
2018-03,83
2018-04,77
2018-05,83
2018-06,91
2018-07,91
2018-08,91
2018-09,83
2018-10,82
2018-11,77
2018-12,82
2019-01,67
2019-02,75
2019-03,72
2019-04,73
2019-05,76
2019-06,80
2019-07,78
2019-08,78
2019-09,68
2019-10,63
2019-11,63
2019-12,68
2020-01,58
2020-02,62
2020-03,63
2020-04,60
2020-05,58
2020-06,61
2020-07,60
2020-08,57
2020-09,49
2020-10,52
2020-11,47
2020-12,57
2021-01,47
2021-02,49
2021-03,53
2021-04,50
2021-05,48
2021-06,46
2021-07,48
2021-08,46
2021-09,39
2021-10,39
2021-11,37
2021-12,40
2022-01,35
2022-02,37
2022-03,46
