Categoría: Todas las categorías

Mes,Nissan: (México)
2004-01,75
2004-02,60
2004-03,67
2004-04,74
2004-05,61
2004-06,62
2004-07,74
2004-08,66
2004-09,67
2004-10,65
2004-11,100
2004-12,92
2005-01,72
2005-02,63
2005-03,62
2005-04,67
2005-05,69
2005-06,73
2005-07,85
2005-08,78
2005-09,65
2005-10,73
2005-11,75
2005-12,90
2006-01,78
2006-02,76
2006-03,65
2006-04,63
2006-05,77
2006-06,67
2006-07,92
2006-08,80
2006-09,77
2006-10,81
2006-11,95
2006-12,88
2007-01,84
2007-02,68
2007-03,68
2007-04,69
2007-05,60
2007-06,61
2007-07,82
2007-08,67
2007-09,65
2007-10,70
2007-11,78
2007-12,82
2008-01,81
2008-02,68
2008-03,67
2008-04,68
2008-05,66
2008-06,70
2008-07,71
2008-08,60
2008-09,59
2008-10,58
2008-11,62
2008-12,59
2009-01,60
2009-02,55
2009-03,57
2009-04,57
2009-05,55
2009-06,55
2009-07,67
2009-08,66
2009-09,54
2009-10,55
2009-11,60
2009-12,58
2010-01,59
2010-02,53
2010-03,54
2010-04,50
2010-05,49
2010-06,49
2010-07,60
2010-08,57
2010-09,53
2010-10,52
2010-11,56
2010-12,61
2011-01,53
2011-02,47
2011-03,50
2011-04,59
2011-05,55
2011-06,51
2011-07,67
2011-08,74
2011-09,73
2011-10,72
2011-11,69
2011-12,70
2012-01,70
2012-02,67
2012-03,64
2012-04,53
2012-05,53
2012-06,56
2012-07,62
2012-08,62
2012-09,60
2012-10,66
2012-11,70
2012-12,65
2013-01,68
2013-02,60
2013-03,64
2013-04,61
2013-05,61
2013-06,67
2013-07,71
2013-08,68
2013-09,58
2013-10,62
2013-11,66
2013-12,66
2014-01,66
2014-02,62
2014-03,65
2014-04,63
2014-05,65
2014-06,68
2014-07,80
2014-08,79
2014-09,71
2014-10,70
2014-11,75
2014-12,78
2015-01,83
2015-02,80
2015-03,79
2015-04,76
2015-05,73
2015-06,78
2015-07,85
2015-08,87
2015-09,79
2015-10,77
2015-11,78
2015-12,87
2016-01,80
2016-02,74
2016-03,79
2016-04,75
2016-05,73
2016-06,79
2016-07,86
2016-08,83
2016-09,93
2016-10,88
2016-11,89
2016-12,85
2017-01,89
2017-02,84
2017-03,86
2017-04,83
2017-05,83
2017-06,88
2017-07,92
2017-08,84
2017-09,78
2017-10,79
2017-11,80
2017-12,85
2018-01,90
2018-02,81
2018-03,81
2018-04,77
2018-05,73
2018-06,74
2018-07,80
2018-08,80
2018-09,75
2018-10,75
2018-11,79
2018-12,84
2019-01,85
2019-02,80
2019-03,83
2019-04,79
2019-05,74
2019-06,77
2019-07,86
2019-08,79
2019-09,80
2019-10,78
2019-11,76
2019-12,78
2020-01,80
2020-02,74
2020-03,63
2020-04,50
2020-05,56
2020-06,73
2020-07,82
2020-08,72
2020-09,67
2020-10,65
2020-11,68
2020-12,72
2021-01,81
2021-02,78
2021-03,75
2021-04,79
2021-05,72
2021-06,76
2021-07,83
2021-08,80
2021-09,69
2021-10,67
2021-11,71
2021-12,75
2022-01,77
2022-02,76
2022-03,64
