Categoría: Todas las categorías

Mes,Sanborns: (México)
2004-01,35
2004-02,42
2004-03,31
2004-04,38
2004-05,37
2004-06,48
2004-07,49
2004-08,44
2004-09,42
2004-10,45
2004-11,55
2004-12,94
2005-01,63
2005-02,64
2005-03,64
2005-04,42
2005-05,47
2005-06,52
2005-07,63
2005-08,57
2005-09,51
2005-10,49
2005-11,61
2005-12,100
2006-01,66
2006-02,58
2006-03,52
2006-04,53
2006-05,57
2006-06,51
2006-07,59
2006-08,50
2006-09,46
2006-10,48
2006-11,53
2006-12,87
2007-01,58
2007-02,46
2007-03,47
2007-04,48
2007-05,47
2007-06,49
2007-07,56
2007-08,52
2007-09,46
2007-10,48
2007-11,53
2007-12,92
2008-01,55
2008-02,45
2008-03,43
2008-04,44
2008-05,39
2008-06,41
2008-07,42
2008-08,34
2008-09,35
2008-10,37
2008-11,42
2008-12,79
2009-01,44
2009-02,37
2009-03,36
2009-04,38
2009-05,39
2009-06,39
2009-07,40
2009-08,39
2009-09,37
2009-10,39
2009-11,44
2009-12,78
2010-01,46
2010-02,43
2010-03,36
2010-04,36
2010-05,36
2010-06,35
2010-07,39
2010-08,39
2010-09,34
2010-10,33
2010-11,42
2010-12,73
2011-01,41
2011-02,33
2011-03,30
2011-04,29
2011-05,32
2011-06,34
2011-07,34
2011-08,31
2011-09,27
2011-10,27
2011-11,41
2011-12,54
2012-01,34
2012-02,35
2012-03,32
2012-04,32
2012-05,34
2012-06,35
2012-07,35
2012-08,34
2012-09,38
2012-10,36
2012-11,47
2012-12,55
2013-01,41
2013-02,39
2013-03,34
2013-04,33
2013-05,35
2013-06,35
2013-07,38
2013-08,34
2013-09,32
2013-10,32
2013-11,43
2013-12,62
2014-01,40
2014-02,39
2014-03,35
2014-04,39
2014-05,38
2014-06,39
2014-07,39
2014-08,36
2014-09,36
2014-10,36
2014-11,44
2014-12,64
2015-01,40
2015-02,35
2015-03,33
2015-04,33
2015-05,36
2015-06,37
2015-07,37
2015-08,38
2015-09,32
2015-10,33
2015-11,42
2015-12,68
2016-01,34
2016-02,30
2016-03,28
2016-04,28
2016-05,31
2016-06,31
2016-07,32
2016-08,30
2016-09,30
2016-10,30
2016-11,40
2016-12,61
2017-01,36
2017-02,32
2017-03,29
2017-04,32
2017-05,35
2017-06,36
2017-07,37
2017-08,35
2017-09,32
2017-10,34
2017-11,45
2017-12,69
2018-01,40
2018-02,33
2018-03,32
2018-04,33
2018-05,36
2018-06,34
2018-07,35
2018-08,33
2018-09,32
2018-10,33
2018-11,48
2018-12,77
2019-01,43
2019-02,35
2019-03,33
2019-04,34
2019-05,41
2019-06,39
2019-07,39
2019-08,36
2019-09,34
2019-10,35
2019-11,56
2019-12,83
2020-01,51
2020-02,38
2020-03,32
2020-04,57
2020-05,58
2020-06,52
2020-07,47
2020-08,41
2020-09,34
2020-10,34
2020-11,62
2020-12,82
2021-01,54
2021-02,37
2021-03,32
2021-04,38
2021-05,48
2021-06,40
2021-07,36
2021-08,37
2021-09,32
2021-10,34
2021-11,56
2021-12,74
2022-01,46
2022-02,34
2022-03,34
