Categoría: Todas las categorías

Mes,Sears: (México)
2004-01,16
2004-02,11
2004-03,13
2004-04,15
2004-05,17
2004-06,22
2004-07,21
2004-08,16
2004-09,16
2004-10,21
2004-11,26
2004-12,42
2005-01,29
2005-02,21
2005-03,25
2005-04,20
2005-05,24
2005-06,25
2005-07,30
2005-08,28
2005-09,21
2005-10,22
2005-11,35
2005-12,42
2006-01,30
2006-02,26
2006-03,25
2006-04,30
2006-05,31
2006-06,31
2006-07,38
2006-08,31
2006-09,28
2006-10,33
2006-11,39
2006-12,53
2007-01,37
2007-02,27
2007-03,29
2007-04,33
2007-05,30
2007-06,35
2007-07,36
2007-08,31
2007-09,26
2007-10,32
2007-11,40
2007-12,56
2008-01,33
2008-02,27
2008-03,29
2008-04,32
2008-05,27
2008-06,35
2008-07,34
2008-08,26
2008-09,29
2008-10,29
2008-11,33
2008-12,51
2009-01,32
2009-02,27
2009-03,25
2009-04,29
2009-05,31
2009-06,30
2009-07,30
2009-08,28
2009-09,27
2009-10,31
2009-11,38
2009-12,59
2010-01,34
2010-02,28
2010-03,28
2010-04,31
2010-05,33
2010-06,33
2010-07,35
2010-08,32
2010-09,28
2010-10,33
2010-11,40
2010-12,62
2011-01,35
2011-02,30
2011-03,27
2011-04,30
2011-05,30
2011-06,34
2011-07,34
2011-08,29
2011-09,28
2011-10,29
2011-11,46
2011-12,49
2012-01,34
2012-02,29
2012-03,26
2012-04,28
2012-05,27
2012-06,31
2012-07,31
2012-08,30
2012-09,27
2012-10,30
2012-11,57
2012-12,51
2013-01,32
2013-02,28
2013-03,27
2013-04,28
2013-05,28
2013-06,32
2013-07,33
2013-08,28
2013-09,25
2013-10,28
2013-11,57
2013-12,54
2014-01,31
2014-02,26
2014-03,25
2014-04,29
2014-05,30
2014-06,32
2014-07,32
2014-08,28
2014-09,29
2014-10,31
2014-11,54
2014-12,61
2015-01,34
2015-02,27
2015-03,26
2015-04,28
2015-05,28
2015-06,35
2015-07,33
2015-08,32
2015-09,29
2015-10,32
2015-11,50
2015-12,57
2016-01,25
2016-02,19
2016-03,20
2016-04,22
2016-05,23
2016-06,27
2016-07,28
2016-08,25
2016-09,24
2016-10,27
2016-11,51
2016-12,64
2017-01,45
2017-02,33
2017-03,35
2017-04,35
2017-05,43
2017-06,48
2017-07,44
2017-08,41
2017-09,39
2017-10,45
2017-11,71
2017-12,76
2018-01,53
2018-02,42
2018-03,38
2018-04,41
2018-05,48
2018-06,48
2018-07,48
2018-08,46
2018-09,41
2018-10,51
2018-11,77
2018-12,75
2019-01,48
2019-02,31
2019-03,28
2019-04,43
2019-05,58
2019-06,56
2019-07,56
2019-08,51
2019-09,49
2019-10,47
2019-11,82
2019-12,84
2020-01,57
2020-02,45
2020-03,44
2020-04,78
2020-05,94
2020-06,83
2020-07,74
2020-08,66
2020-09,53
2020-10,48
2020-11,100
2020-12,89
2021-01,66
2021-02,55
2021-03,48
2021-04,47
2021-05,58
2021-06,58
2021-07,61
2021-08,56
2021-09,49
2021-10,47
2021-11,77
2021-12,87
2022-01,61
2022-02,49
2022-03,38
