Categoría: Todas las categorías

Mes,Toyota: (México)
2004-01,46
2004-02,39
2004-03,31
2004-04,31
2004-05,40
2004-06,36
2004-07,41
2004-08,29
2004-09,37
2004-10,32
2004-11,39
2004-12,44
2005-01,38
2005-02,32
2005-03,38
2005-04,37
2005-05,47
2005-06,43
2005-07,49
2005-08,48
2005-09,43
2005-10,46
2005-11,69
2005-12,69
2006-01,66
2006-02,53
2006-03,50
2006-04,63
2006-05,63
2006-06,57
2006-07,61
2006-08,62
2006-09,65
2006-10,62
2006-11,61
2006-12,71
2007-01,67
2007-02,58
2007-03,70
2007-04,62
2007-05,64
2007-06,63
2007-07,68
2007-08,62
2007-09,64
2007-10,63
2007-11,71
2007-12,74
2008-01,76
2008-02,61
2008-03,68
2008-04,63
2008-05,61
2008-06,63
2008-07,65
2008-08,57
2008-09,56
2008-10,54
2008-11,55
2008-12,61
2009-01,58
2009-02,51
2009-03,51
2009-04,51
2009-05,58
2009-06,55
2009-07,62
2009-08,61
2009-09,54
2009-10,53
2009-11,57
2009-12,58
2010-01,60
2010-02,58
2010-03,47
2010-04,44
2010-05,45
2010-06,42
2010-07,49
2010-08,48
2010-09,44
2010-10,46
2010-11,44
2010-12,49
2011-01,48
2011-02,42
2011-03,41
2011-04,40
2011-05,41
2011-06,41
2011-07,39
2011-08,41
2011-09,42
2011-10,42
2011-11,43
2011-12,46
2012-01,41
2012-02,40
2012-03,38
2012-04,37
2012-05,35
2012-06,35
2012-07,40
2012-08,39
2012-09,37
2012-10,35
2012-11,37
2012-12,37
2013-01,37
2013-02,37
2013-03,36
2013-04,34
2013-05,33
2013-06,34
2013-07,37
2013-08,37
2013-09,35
2013-10,35
2013-11,37
2013-12,36
2014-01,39
2014-02,37
2014-03,36
2014-04,36
2014-05,38
2014-06,36
2014-07,40
2014-08,40
2014-09,39
2014-10,41
2014-11,43
2014-12,44
2015-01,49
2015-02,44
2015-03,46
2015-04,48
2015-05,43
2015-06,43
2015-07,52
2015-08,52
2015-09,52
2015-10,56
2015-11,56
2015-12,56
2016-01,50
2016-02,48
2016-03,51
2016-04,51
2016-05,50
2016-06,54
2016-07,59
2016-08,57
2016-09,55
2016-10,57
2016-11,57
2016-12,62
2017-01,72
2017-02,62
2017-03,62
2017-04,58
2017-05,56
2017-06,61
2017-07,65
2017-08,64
2017-09,57
2017-10,60
2017-11,63
2017-12,65
2018-01,74
2018-02,68
2018-03,65
2018-04,63
2018-05,59
2018-06,59
2018-07,67
2018-08,67
2018-09,63
2018-10,62
2018-11,65
2018-12,66
2019-01,75
2019-02,67
2019-03,69
2019-04,64
2019-05,66
2019-06,73
2019-07,75
2019-08,72
2019-09,100
2019-10,65
2019-11,67
2019-12,71
2020-01,74
2020-02,69
2020-03,53
2020-04,37
2020-05,45
2020-06,54
2020-07,65
2020-08,60
2020-09,55
2020-10,55
2020-11,55
2020-12,59
2021-01,64
2021-02,61
2021-03,59
2021-04,63
2021-05,62
2021-06,64
2021-07,70
2021-08,66
2021-09,59
2021-10,60
2021-11,62
2021-12,72
2022-01,73
2022-02,72
2022-03,64
