Categoría: Todas las categorías

Mes,Volaris: (Todo el mundo)
2004-01,1
2004-02,1
2004-03,1
2004-04,1
2004-05,1
2004-06,1
2004-07,1
2004-08,1
2004-09,1
2004-10,1
2004-11,1
2004-12,1
2005-01,1
2005-02,1
2005-03,1
2005-04,1
2005-05,1
2005-06,1
2005-07,1
2005-08,1
2005-09,1
2005-10,<1
2005-11,1
2005-12,1
2006-01,15
2006-02,19
2006-03,29
2006-04,20
2006-05,24
2006-06,31
2006-07,37
2006-08,30
2006-09,29
2006-10,30
2006-11,29
2006-12,26
2007-01,33
2007-02,41
2007-03,85
2007-04,45
2007-05,53
2007-06,57
2007-07,58
2007-08,50
2007-09,46
2007-10,48
2007-11,53
2007-12,47
2008-01,51
2008-02,54
2008-03,53
2008-04,56
2008-05,51
2008-06,57
2008-07,62
2008-08,52
2008-09,46
2008-10,44
2008-11,45
2008-12,43
2009-01,47
2009-02,45
2009-03,62
2009-04,48
2009-05,46
2009-06,59
2009-07,65
2009-08,47
2009-09,41
2009-10,41
2009-11,40
2009-12,49
2010-01,50
2010-02,52
2010-03,64
2010-04,50
2010-05,56
2010-06,55
2010-07,61
2010-08,60
2010-09,61
2010-10,59
2010-11,59
2010-12,56
2011-01,74
2011-02,67
2011-03,73
2011-04,67
2011-05,68
2011-06,66
2011-07,66
2011-08,69
2011-09,70
2011-10,80
2011-11,77
2011-12,67
2012-01,73
2012-02,74
2012-03,94
2012-04,63
2012-05,66
2012-06,66
2012-07,73
2012-08,69
2012-09,65
2012-10,63
2012-11,70
2012-12,56
2013-01,74
2013-02,68
2013-03,82
2013-04,69
2013-05,73
2013-06,72
2013-07,78
2013-08,75
2013-09,62
2013-10,75
2013-11,71
2013-12,65
2014-01,80
2014-02,69
2014-03,90
2014-04,70
2014-05,71
2014-06,74
2014-07,86
2014-08,72
2014-09,70
2014-10,74
2014-11,74
2014-12,67
2015-01,79
2015-02,74
2015-03,100
2015-04,76
2015-05,80
2015-06,84
2015-07,95
2015-08,82
2015-09,75
2015-10,77
2015-11,88
2015-12,78
2016-01,78
2016-02,72
2016-03,92
2016-04,70
2016-05,74
2016-06,77
2016-07,81
2016-08,73
2016-09,67
2016-10,62
2016-11,71
2016-12,65
2017-01,74
2017-02,66
2017-03,76
2017-04,68
2017-05,73
2017-06,78
2017-07,75
2017-08,69
2017-09,62
2017-10,70
2017-11,79
2017-12,65
2018-01,90
2018-02,78
2018-03,87
2018-04,72
2018-05,76
2018-06,70
2018-07,72
2018-08,66
2018-09,62
2018-10,68
2018-11,72
2018-12,59
2019-01,72
2019-02,68
2019-03,95
2019-04,69
2019-05,76
2019-06,77
2019-07,72
2019-08,67
2019-09,66
2019-10,67
2019-11,76
2019-12,58
2020-01,75
2020-02,71
2020-03,94
2020-04,35
2020-05,32
2020-06,42
2020-07,48
2020-08,45
2020-09,49
2020-10,55
2020-11,58
2020-12,48
2021-01,54
2021-02,48
2021-03,74
2021-04,66
2021-05,77
2021-06,76
2021-07,72
2021-08,62
2021-09,61
2021-10,69
2021-11,80
2021-12,75
2022-01,71
2022-02,70
2022-03,85
