Categoría: Todas las categorías

Mes,Walmart: (México)
2004-01,8
2004-02,8
2004-03,7
2004-04,10
2004-05,8
2004-06,10
2004-07,12
2004-08,10
2004-09,9
2004-10,11
2004-11,12
2004-12,20
2005-01,11
2005-02,10
2005-03,12
2005-04,9
2005-05,10
2005-06,11
2005-07,15
2005-08,12
2005-09,11
2005-10,12
2005-11,18
2005-12,19
2006-01,13
2006-02,13
2006-03,12
2006-04,14
2006-05,13
2006-06,14
2006-07,16
2006-08,14
2006-09,13
2006-10,15
2006-11,20
2006-12,24
2007-01,17
2007-02,15
2007-03,15
2007-04,14
2007-05,13
2007-06,13
2007-07,16
2007-08,14
2007-09,13
2007-10,15
2007-11,22
2007-12,27
2008-01,15
2008-02,13
2008-03,15
2008-04,14
2008-05,14
2008-06,15
2008-07,17
2008-08,14
2008-09,14
2008-10,14
2008-11,21
2008-12,26
2009-01,15
2009-02,13
2009-03,13
2009-04,14
2009-05,14
2009-06,15
2009-07,17
2009-08,17
2009-09,14
2009-10,15
2009-11,22
2009-12,31
2010-01,18
2010-02,16
2010-03,16
2010-04,15
2010-05,16
2010-06,17
2010-07,18
2010-08,16
2010-09,15
2010-10,16
2010-11,25
2010-12,39
2011-01,18
2011-02,14
2011-03,14
2011-04,15
2011-05,15
2011-06,18
2011-07,20
2011-08,19
2011-09,19
2011-10,21
2011-11,40
2011-12,36
2012-01,21
2012-02,18
2012-03,18
2012-04,20
2012-05,18
2012-06,19
2012-07,21
2012-08,21
2012-09,19
2012-10,21
2012-11,41
2012-12,34
2013-01,21
2013-02,18
2013-03,19
2013-04,18
2013-05,18
2013-06,20
2013-07,23
2013-08,23
2013-09,21
2013-10,22
2013-11,47
2013-12,43
2014-01,26
2014-02,22
2014-03,23
2014-04,25
2014-05,26
2014-06,28
2014-07,30
2014-08,28
2014-09,30
2014-10,30
2014-11,53
2014-12,50
2015-01,31
2015-02,27
2015-03,27
2015-04,28
2015-05,29
2015-06,35
2015-07,33
2015-08,32
2015-09,30
2015-10,31
2015-11,53
2015-12,60
2016-01,30
2016-02,23
2016-03,25
2016-04,26
2016-05,29
2016-06,29
2016-07,30
2016-08,29
2016-09,27
2016-10,29
2016-11,51
2016-12,54
2017-01,37
2017-02,29
2017-03,30
2017-04,33
2017-05,36
2017-06,39
2017-07,39
2017-08,36
2017-09,35
2017-10,38
2017-11,63
2017-12,69
2018-01,50
2018-02,38
2018-03,40
2018-04,41
2018-05,48
2018-06,45
2018-07,45
2018-08,44
2018-09,39
2018-10,41
2018-11,70
2018-12,74
2019-01,51
2019-02,41
2019-03,44
2019-04,49
2019-05,54
2019-06,52
2019-07,54
2019-08,50
2019-09,46
2019-10,47
2019-11,82
2019-12,85
2020-01,57
2020-02,48
2020-03,53
2020-04,72
2020-05,84
2020-06,77
2020-07,79
2020-08,70
2020-09,60
2020-10,57
2020-11,100
2020-12,99
2021-01,75
2021-02,59
2021-03,59
2021-04,60
2021-05,63
2021-06,57
2021-07,60
2021-08,62
2021-09,52
2021-10,51
2021-11,85
2021-12,87
2022-01,64
2022-02,53
2022-03,50
