Categoría: Todas las categorías

Mes,Western Union: (Estados Unidos)
2004-01,31
2004-02,32
2004-03,29
2004-04,32
2004-05,33
2004-06,35
2004-07,39
2004-08,37
2004-09,39
2004-10,36
2004-11,34
2004-12,37
2005-01,33
2005-02,37
2005-03,32
2005-04,35
2005-05,36
2005-06,39
2005-07,42
2005-08,44
2005-09,45
2005-10,39
2005-11,39
2005-12,43
2006-01,39
2006-02,41
2006-03,42
2006-04,39
2006-05,42
2006-06,47
2006-07,46
2006-08,48
2006-09,46
2006-10,45
2006-11,40
2006-12,46
2007-01,41
2007-02,44
2007-03,46
2007-04,46
2007-05,45
2007-06,49
2007-07,48
2007-08,49
2007-09,47
2007-10,46
2007-11,42
2007-12,47
2008-01,41
2008-02,39
2008-03,41
2008-04,42
2008-05,47
2008-06,49
2008-07,49
2008-08,46
2008-09,45
2008-10,42
2008-11,41
2008-12,44
2009-01,41
2009-02,39
2009-03,38
2009-04,38
2009-05,39
2009-06,42
2009-07,42
2009-08,42
2009-09,41
2009-10,38
2009-11,37
2009-12,41
2010-01,38
2010-02,38
2010-03,36
2010-04,37
2010-05,37
2010-06,38
2010-07,44
2010-08,43
2010-09,45
2010-10,48
2010-11,45
2010-12,55
2011-01,53
2011-02,56
2011-03,55
2011-04,55
2011-05,57
2011-06,61
2011-07,66
2011-08,65
2011-09,62
2011-10,60
2011-11,60
2011-12,65
2012-01,60
2012-02,62
2012-03,60
2012-04,59
2012-05,59
2012-06,62
2012-07,65
2012-08,66
2012-09,63
2012-10,60
2012-11,60
2012-12,69
2013-01,60
2013-02,63
2013-03,66
2013-04,63
2013-05,66
2013-06,70
2013-07,73
2013-08,74
2013-09,70
2013-10,69
2013-11,71
2013-12,73
2014-01,67
2014-02,68
2014-03,68
2014-04,68
2014-05,72
2014-06,68
2014-07,75
2014-08,74
2014-09,67
2014-10,64
2014-11,63
2014-12,74
2015-01,66
2015-02,68
2015-03,68
2015-04,69
2015-05,73
2015-06,77
2015-07,82
2015-08,83
2015-09,77
2015-10,71
2015-11,66
2015-12,73
2016-01,74
2016-02,81
2016-03,78
2016-04,81
2016-05,82
2016-06,86
2016-07,92
2016-08,86
2016-09,87
2016-10,81
2016-11,82
2016-12,89
2017-01,81
2017-02,81
2017-03,83
2017-04,84
2017-05,87
2017-06,98
2017-07,98
2017-08,98
2017-09,90
2017-10,86
2017-11,83
2017-12,89
2018-01,83
2018-02,82
2018-03,87
2018-04,83
2018-05,85
2018-06,93
2018-07,100
2018-08,94
2018-09,86
2018-10,86
2018-11,79
2018-12,89
2019-01,78
2019-02,85
2019-03,81
2019-04,80
2019-05,84
2019-06,89
2019-07,87
2019-08,84
2019-09,77
2019-10,74
2019-11,72
2019-12,78
2020-01,65
2020-02,68
2020-03,68
2020-04,66
2020-05,61
2020-06,63
2020-07,62
2020-08,61
2020-09,54
2020-10,58
2020-11,54
2020-12,62
2021-01,53
2021-02,56
2021-03,57
2021-04,52
2021-05,51
2021-06,50
2021-07,51
2021-08,50
2021-09,48
2021-10,46
2021-11,46
2021-12,51
2022-01,43
2022-02,45
2022-03,44
